58
6 	900 	3000
6 	1000 	3000
6 	1100 	3000
6 	1200 	3000
6 	1300 	3000
6 	1400 	3000
5 	900  	2500
5 	1000 	2500
5 	1100 	2500
5 	1200 	2500
5 	1300 	2500
5 	1400 	2500
#ifndef_left_edge_map
8	550	500
8	550	640
8	550	780
8	550	920
8	550	1060
8	550	1200
8	550	1340
8	550	1480
8	550	1620
8	550	1760
8	550	1900
8	550	2040
8	550	2180
8	550	2320
8	550	2460
8	550	2600
8	550	2740
8	550	2880
8	550	3020
8	550	3160
8	550	3300
8	550	3440
8	550	3580
8	550	3720
8	550	3860
8	550	4000
8	550	4140
8	550	4320
8	550	4460
#endif
#ifndef_bottom_edge_map
1 	1200	450
1 	1300	450
1 	1400	450
1 	1500	450
1 	1600	450
1 	1700	450
1 	1800	450
1 	1900	450
1 	2000	450
1 	2100	450
1 	2200	450
1 	2300	450
1 	2400	450
1 	2500	450
1 	2600	450
1 	2700	450
1 	2800	450
#endif
